seq_id,stock_code,stock_name,in_date
1,600580,卧龙电气,2007-01-15
2,000563,陕国投A,2007-01-15
3,600563,法拉电子,2007-01-15
4,000830,鲁西化工,2007-01-15
5,002056,横店东磁,2007-07-02
6,000997,新大陆,2008-01-02
7,600673,东阳光铝,2008-07-01
8,600801,华新水泥,2009-01-05
9,600765,力源液压,2009-01-05
10,600141,兴发集团,2009-01-05
