stock_code,stock_name,year,revenue,net_profit,operating_profit,total_cost,operating_cost,total_assets,total_liabilities,total_equity,cash_holdings,fixed_assets,current_assets,current_liabilities,ROA,ROE,profit_margin,operating_profit_margin,leverage,cash_ratio,capex_ratio,current_ratio,firm_size,revenue_growth
000563,陕国投A,2010,220169096.67,81517003.66,106223485.72,,,1204033432.99,461181675.93,,263077986.79,44724245.35,550693479.0,440145707.72,0.0677032725391746,,0.37024725491871185,0.48246319454729314,0.38303062298256824,0.21849724399819467,0.03714535171912577,1.2511617615281285,20.90894295171163,
000563,陕国投A,2011,304422023.04,154354276.23,194996914.79,,,1212088634.92,362528623.21,,388126449.23,54075600.66,424454215.05,354171840.72,0.1273457004571185,,0.5070404390871496,0.6405479894086968,0.2990941526598238,0.32021292671852913,0.044613569587317416,1.1984414520000295,20.915610853041695,0.38267371599513056
000563,陕国投A,2012,576308789.42,260629986.53,347070717.32,,,3560886609.43,298060756.33,,808312432.29,60247594.2,839246113.51,263633761.71,0.07319244197211877,,0.4522401728287006,0.6022304772920325,0.08370408525243979,0.22699752082793465,0.016919267813934685,3.183378745068243,21.993275398395845,0.8931244975803703
000563,陕国投A,2013,832775089.53,313076135.49,406511803.13,,,3929188447.31,419756273.91,,942975941.35,59511102.86,999697054.19,395893304.93,0.07967959279335103,,0.37594320414494303,0.48814116589321416,0.10683027285122287,0.23999254655133173,0.015145901923014784,2.5251678715980352,22.091698739546374,0.4450154237073305
000563,陕国投A,2014,835478992.49,350631760.5,467231135.77,,,4257245047.33,443371144.02,,457352102.0,55676299.56,960340608.54,425540028.05,0.08236118818668997,,0.41967753067614894,0.5592374433945954,0.10414508422484803,0.10742912303975449,0.013078011470098084,2.2567574029185384,22.17188808552073,0.0032468585984315457
000563,陕国投A,2015,1150972386.44,453951218.69,607704369.59,,,8743858003.24,1089716821.07,,2173697442.81,82259376.82,3156777468.19,987566596.6,0.05191658173334817,,0.39440669823025715,0.527992136692047,0.12462654593272328,0.24859706573511892,0.009407675283555511,3.196521104559603,22.891617348352103,0.3776197807316817
000563,陕国投A,2016,1013572110.4,515237568.79,684556211.34,,,9504666886.7,1776306281.73,,675296574.26,79972298.97,2362919852.42,1775475348.67,0.05420890336630086,,0.5083383446557785,0.6753897471289381,0.18688779974136785,0.07104894703936977,0.008414003344178873,1.33086604338948,22.975048766160103,-0.11937756079881656
000563,陕国投A,2018,1027334487.8,319474221.09,425317945.74,,,12279353222.88,1864495050.47,,1192528393.14,70937752.85,,,0.02601718635267587,,0.31097390857980695,0.4140014287370058,0.15183984177569748,0.09711654771181055,0.005776994240854833,,23.23118508913176,0.01357809400908705
000563,陕国投A,2019,1755654630.76,581527983.85,762357407.44,,,14666736402.38,3689372690.42,,827053835.34,68489522.43,,,0.0396494467409692,,0.33123142425698165,0.4342297135684286,0.2515469419509932,0.05638976611087061,0.004669717962537738,,23.408847936892986,0.7089415877779706
000563,陕国投A,2020,2125822543.78,685690774.63,921701536.42,,,16517056276.04,4722007825.96,,433396111.56,66162324.17,,,0.041514102947307736,,0.32255315789941197,0.4335740718889404,0.28588676741447244,0.026239307072452964,0.004005697084532944,,23.527659397638246,0.21084324133828014
000563,陕国投A,2021,1908556376.16,732224654.54,977488237.14,,,17243923719.26,4991777878.72,,1303768408.76,66248857.67,,,0.042462763490548686,,0.3836536681264978,0.5121610497598705,0.2894803966886381,0.07560740989034888,0.0038418667786152207,,23.570725670210983,-0.10220334159862243
000563,陕国投A,2022,1925914104.39,837981739.71,1117972894.39,,,22800275015.1,6582558943.01,,2115419303.38,62658337.7,,,0.03675314175618617,,0.43510857405315917,0.580489489038816,0.28870524318897695,0.09278042927021783,0.0027481395579002053,,23.85003843489985,0.009094689812057632
000563,陕国投A,2023,2812799741.8,1082484801.86,1445294107.57,,,24034170948.98,6945175987.65,,1430730531.52,59101026.87,,,0.0450394067745424,,0.3848424705724992,0.513827588253798,0.28897089907504175,0.05952901535722494,0.0024590416284988696,,23.902742444207927,0.4605011383365436
000563,陕国投A,2024,2927639556.38,1361053904.36,1835707664.7,,,25451475840.16,7563963713.85,,2946101753.72,64478775.36,,,0.053476423642686635,,0.46489804436271887,0.627026527462908,0.2971915562521049,0.11575367071921748,0.0025334002540732294,,23.960039568051776,0.04082758287886867
000830,鲁西化工,2010,7685764467.11,211835664.74,216032534.51,7471847059.56,6839624707.1,11282465301.07,8692375154.1,2590090146.97,883550952.6,6374865989.54,2826254471.4,6394086001.35,0.018775653998236545,0.08178698528613554,0.027562081253792888,0.02810813881097667,0.7704322523620469,0.07831186970423976,0.5650242052094256,0.4420107065815639,23.146515614196044,
000830,鲁西化工,2011,9316448117.2,423427732.02,530995748.92,8783695634.83,7964561781.86,13173658825.2,8066720146.75,5106938678.45,730070190.99,7724156214.9,2778115594.83,5289276519.13,0.03214199924549599,0.08291224130157639,0.04544948103540328,0.05699551398130766,0.6123371079960797,0.05541893870770683,0.58633340345238,0.5252354617464686,23.30148512924341,0.2121693498503956
000830,鲁西化工,2012,10226834591.28,339488406.33,365517259.37,9863956612.51,8967619772.56,16502827036.23,11179625783.3,5323201252.93,927728440.94,9391521540.02,2800258818.69,8419386887.31,0.020571530295063593,0.06377523414940184,0.033195844061022335,0.03574099650361623,0.6774370087474381,0.0562163342622014,0.5690856190519376,0.33259652468407763,23.526797538705782,0.09771819288074468
000830,鲁西化工,2013,11056406708.0,305921526.83,347933156.94,10720707829.34,9573252822.23,17881045516.41,12269585949.79,5611459566.62,530359563.63,11211913741.67,2782988472.22,8677679306.71,0.017108704664346733,0.054517282571149024,0.02766916367219439,0.031468918078804815,0.6861783299265032,0.029660433621919495,0.627027862066593,0.32070653614360456,23.607007079054384,0.08111719313690102
